ID,Carrera,Edad,PromedioNotas,HorasEstudioSemanal,Asistencia,Ciudad,Beca
501,Ingeniería,25,4.66,19,86,Santiago,No
502,Ingeniería,22,5.03,7,62,Puerto Montt,No
503,Derecho,22,4.25,18,53,Concepción,Sí
504,Ingeniería,23,4.27,38,74,Concepción,No
505,Arquitectura,25,4.0,14,61,Concepción,Sí
506,Ingeniería,18,6.63,30,54,Valparaíso,No
507,Arquitectura,22,4.22,40,81,Puerto Montt,Sí
508,Derecho,24,3.53,2,56,Valparaíso,No
509,Medicina,29,5.01,12,64,Santiago,No
510,Arquitectura,20,3.54,9,94,Valparaíso,No
511,Arquitectura,26,4.88,13,53,Santiago,Sí
512,Arquitectura,24,5.78,32,57,Puerto Montt,No
513,Ingeniería,20,5.67,39,84,Valparaíso,Sí
514,Derecho,20,5.56,3,100,Concepción,No
515,Ingeniería,20,6.98,0,70,Valparaíso,No
516,Derecho,30,5.63,26,65,Valparaíso,Sí
517,Ingeniería,20,3.8,27,94,Puerto Montt,Sí
518,Derecho,26,3.93,6,75,Santiago,No
519,Arquitectura,23,5.55,23,57,Puerto Montt,Sí
520,Informática,28,4.19,1,71,Puerto Montt,No
521,Ingeniería,30,6.39,39,83,Santiago,No
522,Informática,27,4.82,24,98,Puerto Montt,No
523,Derecho,22,5.9,35,67,Puerto Montt,Sí
524,Derecho,25,3.54,40,88,Valparaíso,No
525,Derecho,23,3.98,3,93,Santiago,No
526,Derecho,18,6.77,24,97,Santiago,No
527,Ingeniería,23,3.71,32,64,Puerto Montt,Sí
528,Medicina,28,4.06,2,52,Valparaíso,No
529,Ingeniería,30,5.65,32,78,Valparaíso,No
530,Ingeniería,29,5.68,36,69,Valparaíso,Sí
531,Informática,21,4.28,25,87,Puerto Montt,No
532,Informática,21,6.53,23,86,Valparaíso,No
533,Medicina,25,5.24,26,57,Santiago,No
534,Medicina,19,4.64,40,77,Valparaíso,No
535,Medicina,23,5.51,30,54,Santiago,Sí
536,Medicina,22,4.67,37,60,Puerto Montt,No
537,Derecho,27,5.79,31,83,Santiago,Sí
538,Arquitectura,18,4.04,24,100,Santiago,No
539,Derecho,19,4.71,6,88,Valparaíso,Sí
540,Ingeniería,21,5.88,21,71,Puerto Montt,No
541,Arquitectura,24,6.84,12,88,Puerto Montt,No
542,Arquitectura,21,6.99,8,64,Santiago,Sí
543,Ingeniería,23,3.65,22,91,Concepción,No
544,Ingeniería,23,3.92,9,76,Valparaíso,Sí
545,Ingeniería,25,6.55,28,93,Concepción,Sí
546,Ingeniería,23,3.74,14,82,Concepción,Sí
547,Ingeniería,18,6.43,1,70,Valparaíso,No
548,Informática,18,6.27,35,93,Concepción,No
549,Informática,18,3.65,12,89,Santiago,No
550,Informática,30,5.77,26,66,Santiago,No
551,Medicina,30,5.23,34,88,Concepción,Sí
552,Derecho,18,6.86,34,54,Santiago,No
553,Derecho,23,6.89,39,63,Santiago,Sí
554,Ingeniería,29,4.33,34,87,Santiago,No
555,Arquitectura,24,4.12,13,62,Puerto Montt,No
556,Informática,18,3.55,9,95,Concepción,Sí
557,Derecho,18,5.67,17,91,Puerto Montt,No
558,Medicina,21,3.77,38,78,Puerto Montt,Sí
559,Ingeniería,20,3.68,8,88,Puerto Montt,No
560,Arquitectura,28,5.76,26,84,Santiago,No
561,Arquitectura,19,4.9,10,76,Concepción,No
562,Arquitectura,24,5.11,23,84,Santiago,Sí
563,Informática,22,3.92,36,100,Puerto Montt,Sí
564,Informática,28,4.39,35,70,Santiago,No
565,Derecho,29,3.88,20,63,Concepción,No
566,Derecho,28,4.21,13,96,Concepción,No
567,Informática,26,5.34,35,88,Puerto Montt,Sí
568,Arquitectura,25,6.36,14,98,Concepción,No
569,Arquitectura,18,4.26,22,95,Puerto Montt,No
570,Informática,29,5.6,18,95,Santiago,No
571,Arquitectura,26,4.41,25,69,Concepción,No
572,Arquitectura,26,3.9,38,54,Santiago,No
573,Derecho,25,4.11,16,55,Valparaíso,No
574,Ingeniería,29,4.48,34,70,Concepción,No
575,Medicina,25,6.95,2,52,Santiago,Sí
576,Ingeniería,26,6.2,8,52,Puerto Montt,No
577,Ingeniería,30,4.41,27,63,Santiago,Sí
578,Ingeniería,19,3.85,40,53,Puerto Montt,No
579,Medicina,29,4.87,8,50,Concepción,No
580,Medicina,18,5.73,33,97,Valparaíso,Sí
581,Medicina,24,4.95,14,70,Santiago,Sí
582,Arquitectura,19,4.32,3,94,Puerto Montt,No
583,Informática,19,6.11,26,51,Concepción,No
584,Arquitectura,20,3.81,38,69,Concepción,No
585,Arquitectura,20,6.77,9,56,Valparaíso,No
586,Informática,26,3.78,25,67,Puerto Montt,No
587,Ingeniería,21,6.79,6,75,Valparaíso,No
588,Medicina,24,5.18,34,51,Santiago,No
589,Medicina,19,5.49,9,65,Valparaíso,No
590,Arquitectura,27,5.9,14,50,Valparaíso,Sí
591,Ingeniería,30,4.63,25,88,Puerto Montt,No
592,Ingeniería,29,6.39,18,50,Santiago,Sí
593,Arquitectura,26,4.88,22,70,Santiago,Sí
594,Derecho,23,6.29,31,71,Santiago,Sí
595,Medicina,18,4.51,8,89,Valparaíso,No
596,Derecho,27,6.59,40,92,Concepción,No
597,Informática,27,6.3,16,56,Concepción,No
598,Derecho,26,4.26,35,62,Santiago,No
599,Arquitectura,21,6.04,7,51,Concepción,No
600,Derecho,21,4.97,18,83,Valparaíso,Sí
601,Medicina,23,3.71,40,85,Valparaíso,No
602,Informática,24,5.13,32,65,Santiago,No
603,Derecho,30,3.56,39,55,Puerto Montt,Sí
604,Informática,27,4.19,40,57,Concepción,No
605,Medicina,27,6.34,2,94,Valparaíso,No
606,Informática,21,6.23,38,72,Valparaíso,Sí
607,Derecho,28,4.47,29,73,Valparaíso,No
608,Medicina,22,5.29,8,53,Puerto Montt,No
609,Arquitectura,21,5.43,29,88,Puerto Montt,No
610,Arquitectura,19,4.55,20,98,Puerto Montt,Sí
611,Medicina,30,6.49,33,55,Santiago,Sí
612,Informática,27,6.13,15,59,Concepción,No
613,Ingeniería,29,4.28,13,74,Valparaíso,No
614,Derecho,30,5.24,33,76,Valparaíso,No
615,Derecho,24,6.07,7,85,Puerto Montt,No
616,Derecho,21,4.66,0,100,Valparaíso,Sí
617,Arquitectura,21,6.6,16,66,Valparaíso,No
618,Ingeniería,22,6.81,16,53,Puerto Montt,No
619,Derecho,18,3.84,10,79,Puerto Montt,No
620,Arquitectura,20,4.65,7,80,Concepción,No
621,Informática,19,4.22,9,53,Concepción,No
622,Arquitectura,21,5.4,17,70,Santiago,No
623,Informática,21,4.14,0,92,Valparaíso,Sí
624,Medicina,21,6.04,16,92,Santiago,No
625,Informática,25,4.99,15,59,Valparaíso,Sí
626,Informática,21,5.11,3,71,Santiago,No
627,Derecho,29,6.31,36,65,Valparaíso,Sí
628,Informática,19,4.29,27,57,Puerto Montt,No
629,Medicina,25,6.6,4,91,Concepción,No
630,Derecho,25,5.5,10,98,Puerto Montt,No
631,Arquitectura,19,5.39,8,96,Valparaíso,No
632,Ingeniería,25,3.85,10,99,Santiago,No
633,Informática,30,5.65,32,69,Santiago,Sí
634,Arquitectura,19,4.91,31,99,Puerto Montt,Sí
635,Informática,26,3.9,19,56,Valparaíso,No
636,Arquitectura,28,4.43,29,58,Santiago,Sí
637,Arquitectura,28,6.77,32,86,Santiago,No
638,Arquitectura,19,5.51,15,58,Puerto Montt,Sí
639,Arquitectura,21,3.56,24,80,Concepción,Sí
640,Derecho,23,3.87,40,68,Valparaíso,No
641,Ingeniería,18,6.27,5,81,Puerto Montt,Sí
642,Derecho,28,4.9,0,59,Concepción,Sí
643,Medicina,22,4.13,31,52,Valparaíso,No
644,Derecho,18,6.65,19,79,Concepción,Sí
645,Ingeniería,29,6.64,24,94,Puerto Montt,No
646,Derecho,27,5.08,30,79,Puerto Montt,No
647,Ingeniería,18,4.28,4,59,Valparaíso,Sí
648,Informática,19,3.93,11,66,Concepción,No
649,Medicina,27,6.68,3,95,Santiago,No
650,Derecho,21,6.45,11,57,Santiago,No
651,Medicina,21,4.27,40,55,Puerto Montt,Sí
652,Derecho,20,6.99,14,86,Puerto Montt,No
653,Medicina,29,6.26,37,100,Santiago,No
654,Medicina,27,3.99,8,76,Concepción,Sí
655,Medicina,23,5.2,29,94,Puerto Montt,No
656,Medicina,24,5.95,32,59,Valparaíso,Sí
657,Informática,27,4.74,30,65,Santiago,No
658,Informática,24,5.72,13,57,Santiago,Sí
659,Ingeniería,30,4.09,17,76,Puerto Montt,No
660,Medicina,28,3.6,3,51,Santiago,Sí
661,Ingeniería,24,6.27,38,73,Valparaíso,No
662,Arquitectura,30,4.03,12,83,Santiago,No
663,Derecho,30,4.0,39,72,Valparaíso,Sí
664,Arquitectura,21,4.28,16,76,Santiago,No
665,Derecho,22,6.39,35,93,Santiago,No
666,Derecho,24,4.09,27,50,Santiago,No
667,Ingeniería,29,6.44,12,95,Puerto Montt,No
668,Medicina,20,4.58,17,97,Santiago,No
669,Arquitectura,23,6.69,21,67,Santiago,Sí
670,Medicina,20,5.41,36,92,Santiago,No
671,Informática,29,3.84,14,76,Concepción,No
672,Derecho,21,3.55,35,69,Santiago,No
673,Informática,30,5.28,37,78,Santiago,Sí
674,Arquitectura,23,5.68,22,73,Santiago,No
675,Derecho,27,4.33,33,79,Santiago,No
676,Medicina,30,5.13,28,85,Concepción,Sí
677,Derecho,18,4.24,21,99,Santiago,No
678,Derecho,21,6.42,39,78,Concepción,Sí
679,Medicina,27,4.52,31,93,Santiago,No
680,Informática,27,6.32,4,58,Puerto Montt,No
681,Informática,27,5.75,33,58,Concepción,No
682,Informática,29,5.21,0,70,Santiago,No
683,Informática,23,4.52,36,88,Puerto Montt,No
684,Arquitectura,20,5.59,34,96,Santiago,No
685,Arquitectura,30,4.32,33,68,Puerto Montt,Sí
686,Medicina,30,5.11,7,60,Santiago,Sí
687,Ingeniería,25,5.7,21,65,Valparaíso,Sí
688,Ingeniería,20,4.93,34,96,Santiago,Sí
689,Derecho,29,5.35,10,62,Santiago,No
690,Ingeniería,30,6.57,29,63,Valparaíso,Sí
691,Ingeniería,28,4.77,10,59,Concepción,No
692,Informática,22,4.51,34,80,Santiago,No
693,Ingeniería,25,3.87,28,73,Santiago,No
694,Informática,23,3.68,19,93,Concepción,Sí
695,Medicina,25,6.04,19,100,Puerto Montt,No
696,Arquitectura,30,6.66,1,97,Concepción,Sí
697,Informática,27,4.7,3,80,Concepción,No
698,Derecho,28,3.98,9,74,Concepción,No
699,Ingeniería,21,4.27,35,87,Santiago,No
700,Derecho,26,5.72,8,77,Concepción,Sí
701,Derecho,24,3.83,2,71,Valparaíso,Sí
702,Informática,21,4.3,22,50,Santiago,No
703,Ingeniería,29,6.38,6,94,Puerto Montt,No
704,Ingeniería,25,6.16,12,74,Concepción,No
705,Arquitectura,21,6.91,28,66,Santiago,No
706,Informática,18,5.66,14,65,Concepción,No
707,Derecho,30,6.85,28,68,Concepción,Sí
708,Informática,30,5.76,11,97,Puerto Montt,No
709,Arquitectura,28,5.45,5,70,Santiago,Sí
710,Medicina,19,6.0,18,97,Puerto Montt,No
711,Informática,18,6.67,32,77,Puerto Montt,No
712,Ingeniería,30,3.87,10,58,Valparaíso,No
713,Derecho,22,4.71,39,71,Puerto Montt,Sí
714,Ingeniería,19,5.09,7,58,Santiago,No
715,Ingeniería,25,4.03,30,100,Concepción,No
716,Ingeniería,24,6.39,10,96,Valparaíso,Sí
717,Ingeniería,24,4.35,30,85,Concepción,No
718,Medicina,28,6.46,9,63,Concepción,No
719,Medicina,27,5.02,22,66,Santiago,No
720,Arquitectura,19,3.79,10,55,Concepción,No
721,Medicina,27,5.84,25,74,Valparaíso,No
722,Derecho,27,4.93,12,69,Santiago,Sí
723,Derecho,20,5.19,3,77,Valparaíso,No
724,Medicina,25,4.96,27,87,Santiago,Sí
725,Medicina,20,6.31,24,75,Puerto Montt,No
726,Derecho,23,5.29,3,91,Concepción,Sí
727,Informática,23,4.43,1,66,Concepción,No
728,Derecho,23,4.66,11,73,Santiago,Sí
729,Informática,19,4.62,34,96,Santiago,No
730,Medicina,30,4.17,12,90,Puerto Montt,No
731,Informática,23,4.81,15,83,Concepción,Sí
732,Informática,28,4.11,6,69,Santiago,No
733,Derecho,18,6.14,34,72,Puerto Montt,No
734,Arquitectura,21,5.38,22,93,Santiago,No
735,Arquitectura,22,4.08,5,84,Puerto Montt,No
736,Derecho,30,4.66,36,58,Santiago,No
737,Derecho,18,4.26,14,89,Concepción,No
738,Derecho,23,5.78,20,84,Valparaíso,No
739,Informática,18,5.48,19,94,Concepción,Sí
740,Arquitectura,23,5.04,3,52,Concepción,No
741,Medicina,19,5.0,3,69,Santiago,No
742,Informática,26,5.91,14,53,Puerto Montt,Sí
743,Arquitectura,23,4.15,40,69,Puerto Montt,No
744,Medicina,20,5.88,8,75,Puerto Montt,No
745,Ingeniería,28,3.97,7,65,Santiago,Sí
746,Informática,24,5.22,22,55,Valparaíso,No
747,Ingeniería,20,4.03,22,94,Santiago,No
748,Arquitectura,26,4.83,20,73,Puerto Montt,No
749,Derecho,25,5.01,8,81,Santiago,No
750,Derecho,28,5.56,10,87,Valparaíso,Sí
751,Medicina,18,4.0,22,90,Valparaíso,No
752,Derecho,24,6.7,9,100,Valparaíso,Sí
753,Informática,27,4.47,13,96,Santiago,No
754,Ingeniería,24,3.58,12,90,Puerto Montt,No
755,Medicina,27,3.59,22,74,Santiago,No
756,Ingeniería,21,4.41,34,78,Valparaíso,Sí
757,Informática,18,5.16,30,93,Valparaíso,No
758,Derecho,30,6.87,28,51,Santiago,Sí
759,Informática,23,6.31,26,95,Puerto Montt,No
760,Arquitectura,30,6.75,34,67,Puerto Montt,Sí
761,Informática,21,6.82,29,94,Concepción,Sí
762,Ingeniería,26,5.6,25,59,Concepción,No
763,Medicina,22,3.56,5,69,Puerto Montt,No
764,Medicina,19,5.87,0,100,Concepción,No
765,Derecho,28,6.08,16,98,Valparaíso,No
766,Informática,22,3.69,24,94,Santiago,No
767,Arquitectura,18,5.63,23,94,Valparaíso,No
768,Informática,29,4.64,7,97,Valparaíso,No
769,Informática,29,5.61,16,80,Santiago,No
770,Ingeniería,22,4.63,4,66,Puerto Montt,Sí
771,Derecho,30,4.75,18,63,Puerto Montt,No
772,Arquitectura,30,6.59,21,53,Puerto Montt,No
773,Arquitectura,20,4.71,34,65,Valparaíso,No
774,Medicina,27,5.61,36,71,Puerto Montt,No
775,Arquitectura,30,5.06,15,52,Valparaíso,No
776,Informática,29,5.82,1,52,Santiago,No
777,Derecho,29,4.93,19,77,Santiago,Sí
778,Informática,24,6.12,13,67,Valparaíso,Sí
779,Informática,22,4.08,13,86,Concepción,Sí
780,Derecho,18,6.92,29,64,Puerto Montt,No
781,Derecho,24,6.66,24,50,Puerto Montt,No
782,Ingeniería,25,5.08,5,73,Valparaíso,No
783,Informática,22,4.05,25,73,Concepción,No
784,Arquitectura,20,6.17,5,51,Valparaíso,Sí
785,Ingeniería,21,4.66,28,82,Puerto Montt,No
786,Ingeniería,26,5.84,29,58,Concepción,No
787,Arquitectura,30,4.29,4,91,Santiago,No
788,Arquitectura,28,5.17,30,100,Santiago,Sí
789,Arquitectura,19,6.05,13,68,Valparaíso,No
790,Medicina,23,6.96,14,53,Puerto Montt,No
791,Derecho,21,4.54,16,61,Puerto Montt,No
792,Medicina,22,6.31,35,57,Puerto Montt,No
793,Ingeniería,22,4.11,30,93,Valparaíso,No
794,Informática,25,5.24,25,95,Puerto Montt,Sí
795,Arquitectura,21,4.96,0,68,Santiago,No
796,Arquitectura,22,4.6,21,53,Concepción,Sí
797,Ingeniería,26,6.82,31,93,Puerto Montt,No
798,Medicina,18,5.35,11,89,Valparaíso,Sí
799,Derecho,18,4.11,39,80,Santiago,No
800,Informática,28,6.29,31,69,Valparaíso,No
801,Ingeniería,28,6.14,40,62,Concepción,No
802,Arquitectura,28,4.47,27,100,Valparaíso,No
803,Arquitectura,20,3.86,19,67,Valparaíso,Sí
804,Arquitectura,24,3.68,22,92,Concepción,No
805,Informática,20,4.42,0,57,Valparaíso,No
806,Ingeniería,21,4.31,14,53,Concepción,No
807,Ingeniería,27,4.91,23,74,Puerto Montt,No
808,Arquitectura,23,6.44,19,90,Puerto Montt,No
809,Medicina,26,3.95,29,87,Concepción,No
810,Derecho,23,4.41,12,83,Santiago,No
811,Ingeniería,30,4.59,31,83,Concepción,Sí
812,Arquitectura,20,5.46,40,78,Santiago,Sí
813,Medicina,28,3.54,1,86,Concepción,No
814,Medicina,26,3.96,0,57,Puerto Montt,Sí
815,Ingeniería,30,3.66,25,97,Concepción,Sí
816,Arquitectura,19,5.37,13,70,Valparaíso,No
817,Informática,18,5.62,19,78,Valparaíso,Sí
818,Derecho,19,4.0,21,56,Valparaíso,No
819,Medicina,22,6.11,29,91,Valparaíso,Sí
820,Arquitectura,25,5.58,39,62,Santiago,No
821,Arquitectura,21,5.61,28,83,Concepción,No
822,Medicina,30,3.71,23,60,Santiago,No
823,Arquitectura,20,4.85,27,92,Concepción,No
824,Ingeniería,21,4.07,32,61,Valparaíso,No
825,Informática,21,4.02,7,82,Puerto Montt,No
826,Ingeniería,21,5.11,22,75,Concepción,No
827,Medicina,27,4.37,3,59,Santiago,Sí
828,Informática,29,6.47,0,78,Concepción,Sí
829,Derecho,24,4.57,26,67,Valparaíso,Sí
830,Informática,21,3.7,26,56,Valparaíso,Sí
831,Derecho,19,5.91,9,76,Concepción,No
832,Derecho,19,4.93,17,69,Valparaíso,No
833,Ingeniería,28,3.5,17,93,Concepción,No
834,Derecho,19,5.82,1,68,Valparaíso,No
835,Informática,27,6.32,12,96,Concepción,No
836,Medicina,30,3.69,36,71,Santiago,No
837,Informática,26,5.19,27,81,Concepción,Sí
838,Arquitectura,19,5.89,25,65,Concepción,Sí
839,Derecho,21,4.18,39,97,Valparaíso,Sí
840,Medicina,27,4.14,40,95,Valparaíso,No
841,Informática,23,6.51,36,92,Valparaíso,Sí
842,Arquitectura,24,4.2,22,99,Valparaíso,No
843,Arquitectura,23,5.46,29,97,Valparaíso,No
844,Medicina,21,5.65,3,50,Concepción,No
845,Ingeniería,20,6.43,33,58,Concepción,Sí
846,Ingeniería,25,3.53,17,56,Valparaíso,No
847,Arquitectura,30,5.95,30,94,Concepción,Sí
848,Ingeniería,28,4.74,12,65,Concepción,No
849,Medicina,18,5.92,7,90,Puerto Montt,No
850,Medicina,20,3.76,32,80,Santiago,No
851,Medicina,30,5.71,34,60,Puerto Montt,No
852,Informática,18,5.51,15,64,Valparaíso,No
853,Informática,28,5.38,7,97,Concepción,No
854,Derecho,19,6.93,30,91,Valparaíso,No
855,Informática,25,5.0,36,93,Concepción,Sí
856,Informática,24,4.74,14,99,Santiago,No
857,Ingeniería,21,5.89,38,50,Valparaíso,Sí
858,Ingeniería,29,3.59,28,51,Puerto Montt,Sí
859,Medicina,29,5.39,27,56,Puerto Montt,Sí
860,Informática,25,4.02,23,96,Santiago,No
861,Arquitectura,27,5.28,21,62,Concepción,No
862,Medicina,26,4.82,31,98,Santiago,No
863,Arquitectura,27,4.77,26,77,Valparaíso,No
864,Derecho,28,5.92,34,96,Puerto Montt,No
865,Informática,28,6.85,16,66,Valparaíso,No
866,Arquitectura,29,6.04,37,90,Concepción,No
867,Informática,30,6.45,13,94,Santiago,No
868,Medicina,27,5.82,14,78,Puerto Montt,No
869,Informática,25,6.56,22,96,Puerto Montt,Sí
870,Medicina,23,6.82,28,78,Puerto Montt,No
871,Medicina,21,5.65,1,72,Santiago,No
872,Medicina,22,6.44,10,95,Puerto Montt,No
873,Informática,19,4.06,25,76,Valparaíso,No
874,Ingeniería,19,5.36,6,65,Concepción,No
875,Medicina,21,5.25,26,90,Puerto Montt,No
876,Medicina,30,5.84,8,88,Concepción,No
877,Informática,29,4.5,39,65,Valparaíso,No
878,Arquitectura,30,5.89,14,53,Concepción,No
879,Derecho,28,6.56,36,63,Concepción,Sí
880,Ingeniería,20,3.62,3,64,Concepción,No
881,Informática,30,5.61,14,93,Puerto Montt,No
882,Informática,25,5.06,5,77,Concepción,Sí
883,Ingeniería,22,4.18,35,99,Santiago,Sí
884,Ingeniería,22,6.91,3,100,Concepción,No
885,Arquitectura,19,5.92,29,97,Concepción,No
886,Informática,19,3.93,4,85,Valparaíso,No
887,Informática,18,5.15,21,95,Valparaíso,No
888,Arquitectura,24,6.6,2,81,Santiago,No
889,Arquitectura,18,3.69,1,60,Puerto Montt,Sí
890,Medicina,30,4.35,35,63,Concepción,No
891,Arquitectura,24,5.56,28,54,Santiago,Sí
892,Medicina,26,5.65,13,97,Valparaíso,Sí
893,Arquitectura,25,5.45,26,74,Valparaíso,No
894,Derecho,26,5.18,0,82,Valparaíso,No
895,Derecho,20,3.58,0,60,Santiago,No
896,Derecho,18,5.09,2,98,Concepción,No
897,Ingeniería,22,5.4,2,78,Puerto Montt,No
898,Medicina,27,3.54,11,70,Valparaíso,Sí
899,Medicina,21,6.99,27,69,Santiago,No
900,Informática,23,4.37,13,65,Valparaíso,Sí
901,Informática,29,4.76,25,70,Santiago,Sí
902,Informática,19,6.19,17,83,Puerto Montt,Sí
903,Informática,18,4.68,32,87,Santiago,No
904,Informática,21,4.69,14,68,Concepción,No
905,Informática,27,6.4,36,84,Concepción,No
906,Ingeniería,30,4.67,23,66,Puerto Montt,No
907,Ingeniería,30,5.67,18,68,Santiago,No
908,Arquitectura,21,6.19,27,90,Puerto Montt,No
909,Informática,26,4.8,1,72,Concepción,No
910,Arquitectura,19,5.44,39,62,Concepción,No
911,Informática,22,5.58,12,82,Santiago,No
912,Medicina,25,5.2,2,81,Concepción,No
913,Ingeniería,18,6.66,21,58,Concepción,No
914,Derecho,26,5.09,4,76,Santiago,No
915,Medicina,28,6.43,14,99,Santiago,Sí
916,Ingeniería,23,5.34,7,51,Puerto Montt,Sí
917,Medicina,29,6.29,8,52,Puerto Montt,No
918,Informática,25,4.48,5,94,Santiago,No
919,Medicina,28,5.59,21,77,Valparaíso,No
920,Derecho,19,3.54,20,88,Santiago,No
921,Ingeniería,27,6.81,1,72,Valparaíso,Sí
922,Derecho,21,6.73,24,83,Valparaíso,No
923,Informática,30,4.7,5,60,Concepción,No
924,Derecho,23,5.44,11,60,Valparaíso,No
925,Medicina,21,4.2,39,84,Concepción,No
926,Ingeniería,18,4.33,19,67,Valparaíso,No
927,Ingeniería,25,6.55,2,93,Santiago,No
928,Arquitectura,23,4.47,6,51,Valparaíso,No
929,Arquitectura,22,4.04,40,88,Santiago,No
930,Informática,21,5.09,25,66,Concepción,Sí
931,Informática,30,4.86,6,85,Santiago,No
932,Derecho,28,4.19,15,98,Santiago,No
933,Medicina,26,6.9,18,86,Puerto Montt,Sí
934,Informática,30,4.98,21,65,Santiago,No
935,Informática,21,5.67,11,69,Puerto Montt,No
936,Ingeniería,24,4.4,24,86,Valparaíso,No
937,Arquitectura,19,5.14,13,99,Santiago,No
938,Derecho,25,5.1,32,95,Puerto Montt,No
939,Derecho,19,5.76,36,96,Concepción,No
940,Ingeniería,25,6.87,36,73,Santiago,No
941,Informática,26,5.05,8,86,Valparaíso,No
942,Arquitectura,27,5.51,21,69,Concepción,No
943,Informática,20,5.22,19,55,Puerto Montt,No
944,Ingeniería,24,4.97,17,87,Puerto Montt,No
945,Arquitectura,27,6.8,34,99,Puerto Montt,Sí
946,Derecho,21,5.37,35,96,Valparaíso,Sí
947,Medicina,18,4.6,9,78,Santiago,No
948,Derecho,25,6.13,9,97,Valparaíso,Sí
949,Ingeniería,21,4.4,32,59,Valparaíso,No
950,Medicina,27,4.03,19,69,Puerto Montt,No
951,Ingeniería,22,4.89,9,100,Puerto Montt,Sí
952,Derecho,23,4.09,24,58,Puerto Montt,Sí
953,Ingeniería,23,3.83,35,55,Santiago,Sí
954,Derecho,21,5.36,40,88,Santiago,No
955,Arquitectura,30,6.76,0,66,Valparaíso,No
956,Arquitectura,29,3.83,18,57,Valparaíso,Sí
957,Medicina,23,4.54,2,72,Valparaíso,Sí
958,Ingeniería,19,3.94,35,60,Santiago,Sí
959,Medicina,25,4.64,25,84,Valparaíso,No
960,Arquitectura,25,4.43,10,80,Valparaíso,Sí
961,Derecho,24,5.57,14,75,Valparaíso,Sí
962,Medicina,19,3.86,10,62,Santiago,No
963,Arquitectura,21,5.05,40,93,Valparaíso,No
964,Informática,24,5.27,17,71,Valparaíso,No
965,Arquitectura,30,6.77,38,65,Valparaíso,No
966,Arquitectura,26,4.49,21,97,Valparaíso,No
967,Arquitectura,25,5.82,9,88,Santiago,Sí
968,Informática,26,5.38,6,80,Santiago,No
969,Medicina,29,4.78,4,79,Valparaíso,Sí
970,Informática,25,4.35,16,61,Santiago,No
971,Derecho,23,5.04,7,88,Concepción,No
972,Ingeniería,23,6.57,31,80,Santiago,No
973,Informática,20,5.64,39,81,Valparaíso,No
974,Ingeniería,23,5.12,39,80,Valparaíso,No
975,Informática,24,3.69,31,65,Concepción,No
976,Derecho,24,4.68,40,95,Concepción,Sí
977,Medicina,20,4.42,29,69,Santiago,Sí
978,Informática,22,3.6,7,88,Puerto Montt,No
979,Ingeniería,22,5.78,31,77,Valparaíso,No
980,Informática,25,3.89,31,80,Puerto Montt,No
981,Informática,24,4.64,24,99,Concepción,No
982,Informática,23,5.87,33,52,Puerto Montt,Sí
983,Medicina,28,6.59,1,100,Valparaíso,Sí
984,Medicina,20,5.13,38,52,Valparaíso,Sí
985,Ingeniería,28,5.7,32,60,Valparaíso,No
986,Informática,22,5.16,1,57,Puerto Montt,No
987,Informática,24,3.7,9,96,Concepción,Sí
988,Derecho,27,4.47,18,94,Valparaíso,Sí
989,Derecho,25,4.67,12,91,Concepción,No
990,Derecho,24,3.69,31,97,Santiago,No
991,Informática,19,6.43,28,94,Valparaíso,No
992,Informática,25,4.67,16,93,Concepción,No
993,Ingeniería,22,4.17,28,86,Santiago,Sí
994,Arquitectura,18,3.93,13,82,Santiago,No
995,Arquitectura,28,4.58,40,67,Puerto Montt,No
996,Derecho,30,6.4,19,59,Puerto Montt,No
997,Ingeniería,25,6.05,1,86,Valparaíso,No
998,Derecho,20,5.59,27,94,Valparaíso,Sí
999,Informática,18,6.84,23,65,Santiago,No
1000,Informática,22,3.66,38,75,Puerto Montt,No
